場 R,枠,番,馬名
札 1,1,1,タガノシルフィー
札 1,4,5,サンセリテ
札 1,8,13,ジーティービキニ
札 2,5,8,アルテクィーン
札 2,7,12,ソニックアイル
札 2,8,14,トーセンルルド
札 3,5,8,サンエンジェルス
札 4,6,11,アート
札 6,5,6,デルマサクラサク
札 6,7,10,ヴェールミューズ
札 6,8,11,スリーケイ
札 6,8,12,ルージュボニート
札 7,6,8,ワイドデコラシオン
札 7,8,11,プルミエールパス
札 8,4,6,ファンクション
札 9,1,1,マテンロウカナロア
札10,4,7,セイウンデセオ
札10,5,9,プレセピオ
札10,6,12,デンプシー
札11,4,6,エマヌエーレ
札11,6,9,ダノンミッション
札11,8,13,モンドデラモーレ
札11,8,14,$マテンロウサン
札12,6,10,ワンダフルデイズ
新 3,4,4,タイセイソアリング
新 3,7,7,ハンデンブレイズ
新 5,1,1,$セリエンクーニゲン
新 5,5,9,アリアス
新 5,6,11,オンナキュヌヴィ
新 5,7,13,ウインテラジーナ
新 5,8,16,ペルウィクトール
新 6,2,2,ビービーアジャイル
新 6,3,4,ニシノケンタマン
新 6,4,7,*トゥーザムーン
新 7,2,2,ウインデイジー
新 7,3,3,チャリングクロス
新 7,5,5,サダムオプシス
新 7,6,7,オストラヴァ
新 7,7,9,タイセイフェリーク
新 7,8,12,クリニクラウン
新 8,2,2,サヴォーナ
新 8,3,3,ロデオドライブ
新 8,8,11,ステレンボッシュ
新 9,4,8,ハニーローリエ
新10,3,5,クライングナウ
新10,6,10,サングラント
新11,7,12,ヴァリスマリネリス
新12,4,6,ジャックナダル
新12,5,8,サトノエスケープ
名 1,5,5,コスモルミナ
名 4,5,10,ラッキーヴォーグ
名 5,3,3,$ブームバップビート
名 5,7,10,アトモス
名 5,7,11,ステイクオール
名 6,3,6,ビービークローサー
名 7,3,3,サンタンジェロ
名 7,5,5,マルモリムソウ
名 8,1,1,ブレットパス
名 8,4,7,カフジエメンタール
名 8,6,10,シャドウマスター
名 9,4,6,タガノアルテミス
名 9,4,7,ダノンプレリュード
名10,2,2,エテルノレガーメ
名10,6,6,レッドヴァリアート
名10,8,10,ロードスタニング
名11,3,5,*バルフルール
名11,7,15,ミッキーラヴィータ
名11,8,17,カルロット
名11,8,18,エコロディアン
名12,7,11,ヒルノプーリア
