場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
栗東,20260921,2026.9.21,月,アイゼンフォルク,,牡,池添学,83.9,68.7,53.5,38.3,24.0,11.8,15.2,15.2,15.2,14.3,12.2,11.8
美浦,20260923,2026.9.23,水,アイビーナツユメ,Ｃ,牝,牧光二,83.5,66.6,51.9,37.7,23.9,11.7,16.9,14.7,14.2,13.8,12.2,11.7
美浦,20260924,2026.9.24,木,アイファーファイト,,牡,的場均,84.2,67.8,52.6,38.1,24.3,11.8,16.4,15.2,14.5,13.8,12.5,11.8
美浦,20260920,2026.9.20,日,アクロスザリバー,,牡,蛯名利弘,86.6,67.9,52.4,38.2,24.4,11.9,18.7,15.5,14.2,13.8,12.5,11.9
栗東,20260923,2026.9.23,水,アジュマン,,牡,石坂公一,85.7,70.1,54.2,37.6,22.8,11.4,15.6,15.9,16.6,14.8,11.4,11.4
栗東,20260921,2026.9.21,月,アスゴッド,,牡,矢作芳人,,,55.2,39.1,24.4,12.3,,,16.1,14.7,12.1,12.3
栗東,20260923,2026.9.23,水,アルトゥーム,,牡,藤岡健一,80.4,64.5,50.1,36.1,23.2,11.9,15.9,14.4,14.0,12.9,11.3,11.9
栗東,20260923,2026.9.23,水,アレストラウム,Ｃ,牡,佐藤悠太,81.2,65.8,52.0,37.6,23.6,11.8,15.4,13.8,14.4,14.0,11.8,11.8
美浦,20260924,2026.9.24,木,イゾラフェリーチェ,,牝,鹿戸雄一,84.7,68.5,53.9,39.2,24.7,11.5,16.2,14.6,14.7,14.5,13.2,11.5
美浦,20260923,2026.9.23,水,インパクトシー,,牡,大竹正博,83.9,67.3,51.2,36.4,22.7,11.2,16.6,16.1,14.8,13.7,11.5,11.2
美浦,20260923,2026.9.23,水,ヴァルカンテソーロ,,牡,嘉藤貴行,84.8,67.6,52.6,38.3,24.4,11.8,17.2,15.0,14.3,13.9,12.6,11.8
美浦,20260923,2026.9.23,水,ヴィヴァクラウン,,牡,杉浦宏昭,87.7,68.6,53.1,37.8,24.0,11.6,19.1,15.5,15.3,13.8,12.4,11.6
美浦,20260920,2026.9.20,日,ヴェントリナ,,牝,相沢郁,80.8,65.3,51.1,37.1,24.0,11.8,15.5,14.2,14.0,13.1,12.2,11.8
