場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
美浦,20260902,美浦,水,アイビーチーキー,,牡,3,加藤士津,53.1,39.1,25.8,12.6,14.0,13.3,13.2,12.6,
美浦,20260830,美浦,日,アオイノリプー,,牡,2,尾形和幸,54.9,38.9,24.7,12.2,16.0,14.2,12.5,12.2,
栗東,20260826,栗東,水,アクアアイ,,牝,3,四位洋文,55.0,39.3,24.9,12.2,15.7,14.4,12.7,12.2,
栗東,20260830,栗東,日,アクアアイ,,牝,3,四位洋文,56.1,40.5,25.5,12.6,15.6,15.0,12.9,12.6,
栗東,20260826,栗東,水,アスクチャンスマン,,牡,3,梅田智之,56.3,39.9,25.1,12.4,16.4,14.8,12.7,12.4,
栗東,20260830,栗東,日,アスクチャンスマン,,牡,3,梅田智之,54.6,39.5,26.2,13.2,15.1,13.3,13.0,13.2,
栗東,20260902,栗東,水,アスクチャンスマン,,牡,3,梅田智之,54.0,38.5,24.8,12.5,15.5,13.7,12.3,12.5,
栗東,20260826,栗東,水,アスクハッピーマン,,牡,3,矢作芳人,52.0,37.6,24.9,12.9,14.4,12.7,12.0,12.9,
栗東,20260902,栗東,水,アスクハッピーマン,,牡,3,矢作芳人,52.7,38.1,24.8,12.7,14.6,13.3,12.1,12.7,
栗東,20260830,栗東,日,アストラルライト,Ｘ,牝,2,安田翔伍,56.9,41.9,28.7,15.1,15.0,13.2,13.6,15.1,
美浦,20260830,美浦,日,アッティーヤ,,牝,2,鹿戸雄一,55.8,40.4,25.9,12.7,15.4,14.5,13.2,12.7,
栗東,20260830,栗東,日,アメリカンコール,,牡,3,武幸四郎,55.4,40.4,26.3,13.1,15.0,14.1,13.2,13.1,
栗東,20260902,栗東,水,アラムシャピラス,,牡,3,池江泰寿,56.2,40.3,26.2,12.9,15.9,14.1,13.3,12.9,
栗東,20260826,栗東,水,アリエスキング,,牡,5,庄野靖志,56.1,41.0,26.8,12.8,15.1,14.2,14.0,12.8,
美浦,20260902,美浦,水,アルティソナンテ,,牝,3,古賀大生,54.0,39.0,25.5,13.0,15.0,13.5,12.5,13.0,
美浦,20260902,美浦,水,アルデラッシュ,,牝,2,田中剛,53.6,39.7,25.6,12.5,13.9,14.1,13.1,12.5,
栗東,20260826,栗東,水,アルビオン,,牝,3,笹田和秀,53.7,39.3,25.7,13.2,14.4,13.6,12.5,13.2,
栗東,20260902,栗東,水,アルビオン,,牝,3,笹田和秀,54.7,39.9,26.2,13.1,14.8,13.7,13.1,13.1,
栗東,20260902,栗東,水,アルムアポジェ,,牝,3,北出成人,53.4,38.4,25.0,12.4,15.0,13.4,12.6,12.4,
栗東,20260902,栗東,水,アンガーザガール,,牝,3,東田明士,58.8,43.0,27.7,13.0,15.8,15.3,14.7,13.0,
栗東,20260826,栗東,水,アンドヴェローナ,,牝,2,高橋義忠,55.4,39.9,26.0,13.1,15.5,13.9,12.9,13.1,
美浦,20260830,美浦,日,イノキ,,牡,4,岩戸孝樹,56.5,40.2,26.1,12.1,16.3,14.1,14.0,12.1,
栗東,20260827,栗東,木,イミュータブル,,牡,6,浜田多実,52.8,37.6,24.5,12.4,15.2,13.1,12.1,12.4,
栗東,20260902,栗東,水,イミュータブル,,牡,6,浜田多実,53.6,38.7,25.0,12.4,14.9,13.7,12.6,12.4,
栗東,20260902,栗東,水,インヴァイト,,牝,3,杉山晴紀,55.0,39.7,25.4,12.5,15.3,14.3,12.9,12.5,
栗東,20260826,栗東,水,ヴェントステラーレ,,牝,4,今野貞一,52.7,38.1,25.1,12.9,14.6,13.0,12.2,12.9,
栗東,20260902,栗東,水,ヴェントステラーレ,,牝,4,今野貞一,53.0,38.4,24.7,12.4,14.6,13.7,12.3,12.4,
栗東,20260902,栗東,水,エイダンバローズ,,牡,2,上村洋行,53.1,37.7,24.7,12.3,15.4,13.0,12.4,12.3,
栗東,20260827,栗東,木,エイユーファイヤー,Ｃ,牡,4,森田直行,56.6,40.3,25.9,13.1,16.3,14.4,12.8,13.1,
栗東,20260830,栗東,日,エイユーファイヤー,Ｃ,牡,4,森田直行,53.5,39.0,25.2,12.5,14.5,13.8,12.7,12.5,
美浦,20260830,美浦,日,エーオーキング,,牡,4,久保田貴,55.8,40.6,26.3,12.6,15.2,14.3,13.7,12.6,
美浦,20260902,美浦,水,エバーラスト,,牡,3,和田正一,52.9,38.3,24.6,12.0,14.6,13.7,12.6,12.0,
栗東,20260902,栗東,水,エバイダンス,,牝,3,鈴木孝志,55.8,40.7,25.9,12.6,15.1,14.8,13.3,12.6,
栗東,20260902,栗東,水,エムズマインド,,牡,6,荒川義之,53.2,38.4,25.4,13.0,14.8,13.0,12.4,13.0,
栗東,20260830,栗東,日,エモティコン,,牡,2,橋口慎介,55.3,40.6,27.2,14.3,14.7,13.4,12.9,14.3,
栗東,20260902,栗東,水,エモティコン,,牡,2,橋口慎介,52.9,38.4,25.4,13.1,14.5,13.0,12.3,13.1,
