場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
美浦,20260816,2026.8.16,日,アイファーマーリン,,牡,蛯名利弘,110.9,89.1,69.4,50.2,31.8,15.4,21.8,19.7,19.2,18.4,16.4,15.4
美浦,20260819,2026.8.19,水,アイファーマーリン,,牡,蛯名利弘,83.7,67.1,52.5,38.3,24.6,11.8,16.6,14.6,14.2,13.7,12.8,11.8
美浦,20260816,2026.8.16,日,アエログラム,,牡,菊沢隆徳,91.9,71.8,55.6,39.9,25.7,12.8,20.1,16.2,15.7,14.2,12.9,12.8
美浦,20260819,2026.8.19,水,アドマイヤウルトラ,,牡,宮田敬介,85.5,67.8,52.1,37.5,23.9,11.4,17.7,15.7,14.6,13.6,12.5,11.4
美浦,20260816,2026.8.16,日,アニエーネ,,牝,和田勇介,82.6,67.4,53.0,39.2,25.4,12.0,15.2,14.4,13.8,13.8,13.4,12.0
美浦,20260819,2026.8.19,水,アニエーネ,,牝,和田勇介,84.5,68.9,54.6,39.8,24.9,11.7,15.6,14.3,14.8,14.9,13.2,11.7
栗東,20260818,2026.8.18,火,アビラーシャ,,牡,武幸四郎,99.4,82.8,65.4,48.0,31.2,15.6,16.6,17.4,17.4,16.8,15.6,15.6
栗東,20260819,2026.8.19,水,アビラーシャ,,牡,武幸四郎,87.2,70.8,55.2,39.2,24.3,11.6,16.4,15.6,16.0,14.9,12.7,11.6
栗東,20260821,2026.8.21,金,アビラーシャ,,牡,武幸四郎,106.8,88.1,69.6,50.2,31.9,15.7,18.7,18.5,19.4,18.3,16.2,15.7
栗東,20260816,2026.8.16,日,アルギエバ,,牡,平田修,91.3,75.4,58.7,41.7,26.4,13.0,15.9,16.7,17.0,15.3,13.4,13.0
美浦,20260816,2026.8.16,日,アルジェンタージョ,,牝,伊藤圭三,,,77.8,54.3,33.1,15.7,,,23.5,21.2,17.4,15.7
美浦,20260819,2026.8.19,水,アルジェンタージョ,,牝,伊藤圭三,84.0,66.3,51.1,37.0,24.0,11.9,17.7,15.2,14.1,13.0,12.1,11.9
栗東,20260816,2026.8.16,日,アレストラウム,,牡,佐藤悠太,,77.2,57.2,40.2,25.1,12.2,,20.0,17.0,15.1,12.9,12.2
美浦,20260816,2026.8.16,日,ヴァイオパイシーズ,,牝,和田勇介,89.0,71.9,56.3,40.4,25.8,12.8,17.1,15.6,15.9,14.6,13.0,12.8
美浦,20260819,2026.8.19,水,ヴァイオパイシーズ,,牝,和田勇介,83.3,68.3,53.0,38.0,24.4,12.0,15.0,15.3,15.0,13.6,12.4,12.0
美浦,20260819,2026.8.19,水,ヴァイザーバルコ,,セ,水野貴広,80.2,64.7,50.6,36.9,23.6,11.4,15.5,14.1,13.7,13.3,12.2,11.4
美浦,20260819,2026.8.19,水,ヴィクトリーロード,,牡,畠山吉宏,87.3,70.2,54.1,38.8,25.0,12.3,17.1,16.1,15.3,13.8,12.7,12.3
美浦,20260816,2026.8.16,日,ウィステリアリヴァ,,牡,小野次郎,85.5,68.5,53.6,39.3,25.5,12.5,17.0,14.9,14.3,13.8,13.0,12.5
美浦,20260819,2026.8.19,水,ウィステリアリヴァ,,牡,小野次郎,83.5,66.2,50.6,36.5,22.9,11.0,17.3,15.6,14.1,13.6,11.9,11.0
栗東,20260819,2026.8.19,水,ウィスピア,,牡,小林真也,83.0,67.7,52.6,37.2,23.4,11.6,15.3,15.1,15.4,13.8,11.8,11.6
栗東,20260816,2026.8.16,日,ウイントリベルガ,,牡,杉山晴紀,92.2,74.5,57.0,41.3,26.5,13.0,17.7,17.5,15.7,14.8,13.5,13.0
栗東,20260819,2026.8.19,水,ウイントリベルガ,,牡,杉山晴紀,83.2,68.3,53.5,38.0,23.9,11.7,14.9,14.8,15.5,14.1,12.2,11.7
美浦,20260819,2026.8.19,水,ウインドワンピース,,牡,新開幸一,86.6,68.5,53.2,38.3,24.2,11.6,18.1,15.3,14.9,14.1,12.6,11.6
栗東,20260816,2026.8.16,日,ウインヘリオドール,,牡,梅田智之,109.6,90.7,71.8,52.8,34.3,17.0,18.9,18.9,19.0,18.5,17.3,17.0
栗東,20260818,2026.8.18,火,ウインヘリオドール,,牡,梅田智之,108.3,91.2,71.8,51.4,32.5,16.2,17.1,19.4,20.4,18.9,16.3,16.2
栗東,20260816,2026.8.16,日,ウェイヴムーン,,牡,石坂公一,,88.4,65.7,47.7,31.1,15.2,,22.7,18.0,16.6,15.9,15.2
栗東,20260818,2026.8.18,火,ヴェルサイユシエル,,牝,斉藤崇史,,91.7,70.6,51.0,32.4,15.9,,21.1,19.6,18.6,16.5,15.9
栗東,20260816,2026.8.16,日,ウォータールスール,,牡,石橋守,90.1,72.5,57.5,41.8,26.6,12.8,17.6,15.0,15.7,15.2,13.8,12.8
美浦,20260816,2026.8.16,日,ヴォンサクレ,,牡,勢司和浩,89.2,72.2,57.1,42.2,27.9,14.1,17.0,15.1,14.9,14.3,13.8,14.1
美浦,20260819,2026.8.19,水,ヴォンサクレ,,牡,勢司和浩,87.5,69.9,54.0,39.1,25.0,12.4,17.6,15.9,14.9,14.1,12.6,12.4
美浦,20260816,2026.8.16,日,ヴラディア,,牡,松尾卓哉,86.2,69.1,53.8,39.4,25.6,12.5,17.1,15.3,14.4,13.8,13.1,12.5
美浦,20260819,2026.8.19,水,ヴラディア,,牡,松尾卓哉,83.0,67.0,52.2,37.8,23.9,11.5,16.0,14.8,14.4,13.9,12.4,11.5
