場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260812,栗東,水,アークドール,,牡,5,松永幹夫,56.1,40.5,26.5,13.2,15.6,14.0,13.3,13.2,
栗東,20260819,栗東,水,アークドール,,牡,5,松永幹夫,54.9,39.8,26.3,13.3,15.1,13.5,13.0,13.3,
栗東,20260812,栗東,水,アイキャンドウイッ,,牡,7,池江泰寿,50.8,36.7,24.5,12.5,14.1,12.2,12.0,12.5,
栗東,20260816,栗東,日,アイキャンドウイッ,,牡,7,池江泰寿,59.3,41.8,26.5,13.0,17.5,15.3,13.5,13.0,
栗東,20260819,栗東,水,アイキャンドウイッ,,牡,7,池江泰寿,52.8,38.3,24.7,12.1,14.5,13.6,12.6,12.1,
美浦,20260819,美浦,水,アオゾラランチ,,牝,3,戸田博文,57.4,40.1,25.9,12.7,17.3,14.2,13.2,12.7,
栗東,20260819,栗東,水,アスターエポワス,,牝,3,河嶋宏樹,55.7,40.1,25.9,12.5,15.6,14.2,13.4,12.5,
栗東,20260812,栗東,水,アパレイユ,,牝,3,西園翔太,51.2,37.1,24.1,12.4,14.1,13.0,11.7,12.4,
栗東,20260816,栗東,日,アパレイユ,,牝,3,西園翔太,58.8,42.5,27.0,13.3,16.3,15.5,13.7,13.3,
栗東,20260819,栗東,水,アパレイユ,,牝,3,西園翔太,54.3,39.4,25.0,12.1,14.9,14.4,12.9,12.1,
栗東,20260816,栗東,日,アビル,Ｃ,牡,3,高橋一哉,57.5,41.6,27.1,13.4,15.9,14.5,13.7,13.4,
栗東,20260819,栗東,水,アラビアンジョイ,,牝,3,高橋一哉,53.2,39.3,25.6,12.7,13.9,13.7,12.9,12.7,
栗東,20260812,栗東,水,アルダ,,牡,3,石坂公一,54.1,39.7,25.8,12.7,14.4,13.9,13.1,12.7,
栗東,20260816,栗東,日,アルダ,,牡,3,石坂公一,57.6,41.8,26.8,13.0,15.8,15.0,13.8,13.0,
栗東,20260819,栗東,水,アルダ,,牡,3,石坂公一,54.9,39.8,25.7,12.6,15.1,14.1,13.1,12.6,
栗東,20260812,栗東,水,アルミラージ,,牝,3,小林真也,54.4,39.3,25.3,12.6,15.1,14.0,12.7,12.6,
栗東,20260819,栗東,水,アルミラージ,,牝,3,小林真也,56.1,40.2,26.0,13.0,15.9,14.2,13.0,13.0,
栗東,20260816,栗東,日,アロンソア,,牡,3,牧田和弥,57.1,40.6,26.7,12.8,16.5,13.9,13.9,12.8,
栗東,20260819,栗東,水,アロンソア,,牡,3,牧田和弥,55.0,39.7,25.8,12.5,15.3,13.9,13.3,12.5,
栗東,20260816,栗東,日,イッタレイッタレ,,セ,3,寺島良,59.7,43.1,27.2,12.9,16.6,15.9,14.3,12.9,
栗東,20260812,栗東,水,イットガール,Ｙ,牝,3,矢作芳人,52.5,38.4,25.1,12.7,14.1,13.3,12.4,12.7,
栗東,20260819,栗東,水,イットガール,Ｙ,牝,3,矢作芳人,52.6,38.4,25.4,12.7,14.2,13.0,12.7,12.7,
栗東,20260812,栗東,水,インカルナータ,,牡,2,西園翔太,53.0,38.9,25.0,12.6,14.1,13.9,12.4,12.6,
栗東,20260819,栗東,水,インカルナータ,,牡,2,西園翔太,54.4,39.6,25.8,12.6,14.8,13.8,13.2,12.6,
栗東,20260819,栗東,水,インドミタビリティ,,牡,3,杉山晴紀,54.8,39.4,25.7,12.8,15.4,13.7,12.9,12.8,
栗東,20260819,栗東,水,ヴァーヴイレヴン,,牡,2,小崎憲,53.5,39.0,25.3,12.8,14.5,13.7,12.5,12.8,
美浦,20260813,美浦,木,ヴァナルガンド,,牡,6,稲垣幸雄,52.1,38.1,25.1,12.5,14.0,13.0,12.6,12.5,
美浦,20260819,美浦,水,ヴァナルガンド,,牡,6,稲垣幸雄,52.9,38.9,25.2,12.5,14.0,13.7,12.7,12.5,
美浦,20260819,美浦,水,ヴァルブロッサ,,牝,2,久保田貴,54.3,39.5,25.1,12.2,14.8,14.4,12.9,12.2,
栗東,20260819,栗東,水,ヴィスコンテッサ,,牝,3,松永幹夫,56.3,40.7,26.0,12.5,15.6,14.7,13.5,12.5,
栗東,20260819,栗東,水,ヴィスタグロッサ,,牝,2,高橋義忠,55.9,40.8,26.9,13.5,15.1,13.9,13.4,13.5,
栗東,20260816,栗東,日,ウインクローバー,,牝,2,宮本博,59.0,42.8,27.4,13.2,16.2,15.4,14.2,13.2,
栗東,20260819,栗東,水,ウインクローバー,,牝,2,宮本博,55.9,40.5,25.7,12.7,15.4,14.8,13.0,12.7,
美浦,20260816,美浦,日,ウィンスタンリー,Ｃ,牡,4,黒岩陽一,55.4,39.9,25.6,12.4,15.5,14.3,13.2,12.4,
栗東,20260816,栗東,日,ヴェルジーネ,,牝,3,宮地貴稔,54.8,39.7,26.0,12.7,15.1,13.7,13.3,12.7,
